landmark,x,y,z
WRIST,0.1836310625076294,0.7377780675888062,4.847267032204172e-09
THUMB_CMC,0.234543576836586,0.6976609826087952,-0.02174375019967556
THUMB_MCP,0.2669941186904907,0.6278245449066162,-0.02988862246274948
THUMB_IP,0.27892959117889404,0.5624329447746277,-0.03833187371492386
THUMB_TIP,0.2913529872894287,0.5170246362686157,-0.04708090424537659
INDEX_FINGER_MCP,0.24190695583820343,0.5583258867263794,0.0005432150210253894
INDEX_FINGER_PIP,0.2506805956363678,0.48531997203826904,-0.006491471081972122
INDEX_FINGER_DIP,0.2504847049713135,0.4415142834186554,-0.013324433006346226
INDEX_FINGER_TIP,0.2486078143119812,0.40496826171875,-0.018941577523946762
MIDDLE_FINGER_MCP,0.2086729109287262,0.550646960735321,0.0005963919102214277
MIDDLE_FINGER_PIP,0.20606577396392822,0.4719429016113281,-0.003856220981106162
MIDDLE_FINGER_DIP,0.20104478299617767,0.42557117342948914,-0.01514228992164135
MIDDLE_FINGER_TIP,0.19658686220645905,0.3867083787918091,-0.024579741060733795
RING_FINGER_MCP,0.1781998872756958,0.5576184988021851,-0.003602227894589305
RING_FINGER_PIP,0.17349591851234436,0.4877399802207947,-0.012700174003839493
RING_FINGER_DIP,0.16964425146579742,0.44666019082069397,-0.027246568351984024
RING_FINGER_TIP,0.1675097942352295,0.4127079248428345,-0.03738730773329735
PINKY_MCP,0.14844727516174316,0.5754363536834717,-0.010796880349516869
PINKY_PIP,0.13679203391075134,0.5241423845291138,-0.019716383889317513
PINKY_DIP,0.13262975215911865,0.49333932995796204,-0.029319563880562782
PINKY_TIP,0.130992129445076,0.46376752853393555,-0.03643898665904999
